,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Onshore,Solar
2024-01-01 01:00:00+01:00,0.0,0.44,930.19,176.13,16.65,94.62,
2024-01-01 02:00:00+01:00,0.0,0.44,925.57,176.69,16.26,91.42,
2024-01-01 03:00:00+01:00,0.0,0.44,926.13,175.89,16.12,97.32,
2024-01-01 04:00:00+01:00,0.0,0.44,908.27,175.38,15.43,105.69,
2024-01-01 05:00:00+01:00,0.0,0.44,926.59,385.24,15.26,100.89,
2024-01-01 06:00:00+01:00,0.0,0.44,924.6,472.7,16.59,102.63,
2024-01-01 07:00:00+01:00,0.0,0.44,945.72,395.17,17.32,105.72,
2024-01-01 08:00:00+01:00,0.0,0.44,945.73,390.92,20.07,113.37,
2024-01-01 09:00:00+01:00,0.0,0.44,952.53,292.28,21.22,123.06,
2024-01-01 10:00:00+01:00,0.0,0.44,950.1,328.51,20.45,122.19,
2024-01-01 11:00:00+01:00,0.0,0.44,952.98,285.16,19.96,119.57,
2024-01-01 12:00:00+01:00,0.0,0.44,946.96,366.97,19.66,120.53,
2024-01-01 13:00:00+01:00,0.0,0.44,940.07,369.89,20.22,121.89,
2024-01-01 14:00:00+01:00,0.0,0.44,944.87,344.27,19.02,128.76,
2024-01-01 15:00:00+01:00,0.0,0.44,943.82,442.2,18.17,133.61,
2024-01-01 16:00:00+01:00,0.0,0.44,951.27,439.75,18.13,136.63,
2024-01-01 17:00:00+01:00,0.0,0.44,944.67,523.65,17.39,134.79,
2024-01-01 18:00:00+01:00,0.0,0.44,947.42,462.8,15.4,138.27,
2024-01-01 19:00:00+01:00,0.0,0.44,943.69,451.12,15.4,136.67,
2024-01-01 20:00:00+01:00,0.0,0.44,939.78,438.51,15.87,126.55,
2024-01-01 21:00:00+01:00,0.0,0.44,935.91,365.71,16.99,124.37,
2024-01-01 22:00:00+01:00,0.0,0.44,927.38,346.96,16.6,123.59,
2024-01-01 23:00:00+01:00,0.0,0.44,927.93,305.17,16.26,124.42,
2024-01-02 00:00:00+01:00,0.0,0.44,938.45,337.55,16.97,124.6,
2024-01-02 01:00:00+01:00,0.0,0.44,913.36,213.4,16.23,135.29,
2024-01-02 02:00:00+01:00,0.0,0.44,921.92,210.02,16.59,132.6,
2024-01-02 03:00:00+01:00,0.0,0.44,931.62,208.73,16.74,125.15,
2024-01-02 04:00:00+01:00,0.0,0.44,938.25,210.69,16.92,113.53,
2024-01-02 05:00:00+01:00,0.0,0.44,940.4,412.53,16.61,106.18,
2024-01-02 06:00:00+01:00,0.0,0.44,960.5,396.11,17.16,109.08,
2024-01-02 07:00:00+01:00,0.0,0.44,969.59,472.47,16.2,105.1,
2024-01-02 08:00:00+01:00,0.0,0.44,996.35,547.25,15.83,120.59,
2024-01-02 09:00:00+01:00,0.0,0.44,1005.72,591.68,15.37,121.54,
2024-01-02 10:00:00+01:00,0.0,0.44,1009.57,794.09,15.45,115.97,
2024-01-02 11:00:00+01:00,0.0,0.44,1016.01,833.5,15.3,116.41,
2024-01-02 12:00:00+01:00,0.0,0.44,1026.83,1052.55,15.04,119.97,
2024-01-02 13:00:00+01:00,0.0,0.44,1030.2,905.0,15.28,108.47,
2024-01-02 14:00:00+01:00,0.0,0.44,1022.08,851.37,14.63,110.36,
2024-01-02 15:00:00+01:00,0.0,0.44,1021.29,940.18,13.31,114.64,
2024-01-02 16:00:00+01:00,0.0,0.44,1029.83,1011.14,13.76,117.84,
2024-01-02 17:00:00+01:00,0.0,0.44,1033.33,987.63,13.59,124.08,
2024-01-02 18:00:00+01:00,0.0,0.44,1008.87,787.19,14.1,125.46,
2024-01-02 19:00:00+01:00,0.0,0.44,1007.21,565.79,15.01,123.69,
2024-01-02 20:00:00+01:00,0.0,0.44,1020.86,581.04,14.34,129.57,
2024-01-02 21:00:00+01:00,0.0,0.44,1006.44,616.19,14.36,133.75,
2024-01-02 22:00:00+01:00,0.0,0.44,988.92,597.62,14.29,138.86,
2024-01-02 23:00:00+01:00,0.0,0.44,988.97,545.43,14.13,140.62,
2024-01-03 00:00:00+01:00,0.0,0.44,984.29,537.84,14.27,129.05,
2024-01-03 01:00:00+01:00,0.0,0.44,1009.37,454.1,14.98,128.45,
2024-01-03 02:00:00+01:00,0.0,0.44,1006.5,497.68,14.97,134.09,
2024-01-03 03:00:00+01:00,0.0,0.44,980.58,393.03,18.09,141.22,
2024-01-03 04:00:00+01:00,0.0,0.44,980.47,402.16,17.27,144.69,
2024-01-03 05:00:00+01:00,0.0,0.44,987.94,469.42,15.43,138.64,
2024-01-03 06:00:00+01:00,0.0,0.44,1008.68,688.44,15.72,138.83,
2024-01-03 07:00:00+01:00,0.0,0.44,1023.92,822.27,15.21,144.36,
2024-01-03 08:00:00+01:00,0.0,0.44,1005.15,820.36,15.15,142.89,
2024-01-03 09:00:00+01:00,0.0,0.44,1025.97,855.01,15.26,140.89,
2024-01-03 10:00:00+01:00,0.0,0.44,1024.28,873.88,14.93,134.25,
2024-01-03 11:00:00+01:00,0.0,0.44,1022.0,860.61,10.98,134.06,
2024-01-03 12:00:00+01:00,0.0,0.44,1021.89,914.14,11.36,140.72,
2024-01-03 13:00:00+01:00,0.0,0.44,1016.02,899.97,14.62,139.92,
2024-01-03 14:00:00+01:00,0.0,0.44,999.44,914.02,14.8,136.16,
2024-01-03 15:00:00+01:00,0.0,0.44,1021.6,893.64,11.83,143.0,
2024-01-03 16:00:00+01:00,0.0,0.44,1031.15,865.09,13.81,151.47,
2024-01-03 17:00:00+01:00,0.0,0.44,1044.88,1028.32,13.16,148.63,
2024-01-03 18:00:00+01:00,0.0,0.44,1054.85,1065.58,13.37,139.1,
2024-01-03 19:00:00+01:00,0.0,0.44,1040.78,1039.48,13.8,137.22,
2024-01-03 20:00:00+01:00,0.0,0.44,1031.26,861.39,14.74,133.16,
2024-01-03 21:00:00+01:00,0.0,0.44,1008.5,804.58,15.22,132.6,
2024-01-03 22:00:00+01:00,0.0,0.44,1027.92,677.63,16.32,125.79,
2024-01-03 23:00:00+01:00,0.0,0.44,1004.41,588.99,17.34,112.0,
2024-01-04 00:00:00+01:00,0.0,0.44,995.95,409.01,18.69,112.99,
2024-01-04 01:00:00+01:00,0.0,0.44,994.36,347.36,18.63,110.52,
2024-01-04 02:00:00+01:00,0.0,0.44,969.61,338.06,17.46,102.48,
2024-01-04 03:00:00+01:00,0.0,0.44,968.28,336.84,15.8,96.56,
2024-01-04 04:00:00+01:00,0.0,0.44,988.89,398.84,16.34,86.19,
2024-01-04 05:00:00+01:00,0.0,0.44,1002.99,433.91,15.62,86.04,
2024-01-04 06:00:00+01:00,0.0,0.44,1007.2,588.72,15.34,84.64,
2024-01-04 07:00:00+01:00,0.0,0.44,1013.87,938.34,16.01,86.57,
2024-01-04 08:00:00+01:00,0.0,0.44,1043.76,1027.2,18.37,99.24,
2024-01-04 09:00:00+01:00,0.0,0.44,1072.09,992.17,14.23,109.64,
2024-01-04 10:00:00+01:00,0.0,0.44,1055.99,1080.76,13.91,96.09,
2024-01-04 11:00:00+01:00,0.0,0.44,1034.77,1004.86,12.12,73.88,
2024-01-04 12:00:00+01:00,0.0,0.44,1062.39,1004.99,11.76,70.4,
2024-01-04 13:00:00+01:00,0.0,0.44,1064.74,965.72,11.47,76.9,
2024-01-04 14:00:00+01:00,0.0,0.44,1067.52,1147.79,11.28,88.89,
2024-01-04 15:00:00+01:00,0.0,0.44,1058.81,1145.88,11.21,87.42,
2024-01-04 16:00:00+01:00,0.0,0.44,1071.99,1207.89,10.84,85.04,
2024-01-04 17:00:00+01:00,0.0,0.44,1090.97,1182.99,10.62,82.51,
2024-01-04 18:00:00+01:00,0.0,0.44,1082.56,1235.83,9.41,72.69,
2024-01-04 19:00:00+01:00,0.0,0.44,1070.59,1190.06,9.94,57.0,
2024-01-04 20:00:00+01:00,0.0,0.44,1070.92,1141.44,9.82,67.91,
2024-01-04 21:00:00+01:00,0.0,0.44,1065.16,1032.74,10.73,62.09,
2024-01-04 22:00:00+01:00,0.0,0.44,1063.91,1079.68,10.39,63.27,
2024-01-04 23:00:00+01:00,0.0,0.44,1053.36,1026.34,10.44,64.08,
2024-01-05 00:00:00+01:00,0.0,0.44,1061.87,881.07,6.44,64.6,
2024-01-05 01:00:00+01:00,0.0,0.44,1054.58,654.52,3.82,68.86,
2024-01-05 02:00:00+01:00,0.0,0.44,1058.8,580.06,4.05,72.32,
2024-01-05 03:00:00+01:00,0.0,0.44,1052.57,607.49,4.2,72.71,
2024-01-05 04:00:00+01:00,0.0,0.44,1054.87,653.52,4.11,72.52,
2024-01-05 05:00:00+01:00,0.0,0.44,1064.35,895.43,3.92,72.25,
2024-01-05 06:00:00+01:00,0.0,0.44,1078.36,1024.83,3.94,68.92,
2024-01-05 07:00:00+01:00,0.0,0.44,1085.9,1054.94,4.1,55.72,
2024-01-05 08:00:00+01:00,0.0,0.44,1082.59,970.21,4.42,42.86,
2024-01-05 09:00:00+01:00,0.0,0.44,1086.24,989.09,4.5,53.65,
2024-01-05 10:00:00+01:00,0.0,0.44,1087.26,1048.41,4.42,53.1,
2024-01-05 11:00:00+01:00,0.0,0.44,1081.26,1009.75,4.23,54.7,
2024-01-05 12:00:00+01:00,0.0,0.44,1086.14,965.28,4.24,57.28,
2024-01-05 13:00:00+01:00,0.0,0.44,1088.22,959.85,4.1,47.85,
2024-01-05 14:00:00+01:00,0.0,0.44,1074.6,1031.21,3.58,30.12,
2024-01-05 15:00:00+01:00,0.0,0.44,1064.38,955.73,3.65,37.47,
2024-01-05 16:00:00+01:00,0.0,0.44,1062.77,936.59,3.25,33.23,
2024-01-05 17:00:00+01:00,0.0,0.44,1060.46,937.85,2.97,20.59,
2024-01-05 18:00:00+01:00,0.0,0.44,1053.77,929.48,2.7,13.58,
2024-01-05 19:00:00+01:00,0.0,0.44,1054.63,1017.18,2.23,9.09,
2024-01-05 20:00:00+01:00,0.0,0.44,1062.82,960.27,2.32,15.04,
2024-01-05 21:00:00+01:00,0.0,0.44,1068.07,1147.02,3.32,27.49,
2024-01-05 22:00:00+01:00,0.0,0.44,1075.74,1170.76,3.0,25.17,
2024-01-05 23:00:00+01:00,0.0,0.44,1068.61,1112.49,2.54,23.32,
2024-01-06 00:00:00+01:00,0.0,0.44,1076.69,866.35,8.47,15.19,
2024-01-06 01:00:00+01:00,0.0,0.44,1064.3,816.68,8.78,16.84,
2024-01-06 02:00:00+01:00,0.0,0.44,1066.27,804.63,8.79,20.21,
2024-01-06 03:00:00+01:00,0.0,0.44,1064.15,774.28,9.13,21.16,
2024-01-06 04:00:00+01:00,0.0,0.44,1066.61,729.08,9.56,22.68,
2024-01-06 05:00:00+01:00,0.0,0.44,1067.06,733.82,9.56,24.12,
2024-01-06 06:00:00+01:00,0.0,0.44,1067.78,725.97,10.02,24.11,
2024-01-06 07:00:00+01:00,0.0,0.44,1066.75,778.7,10.19,20.62,
2024-01-06 08:00:00+01:00,0.0,0.44,1075.9,955.25,9.7,18.28,
2024-01-06 09:00:00+01:00,0.0,0.44,1078.55,1059.45,9.7,19.96,
2024-01-06 10:00:00+01:00,0.0,0.44,1080.28,1188.39,8.74,22.96,
2024-01-06 11:00:00+01:00,0.0,0.44,1083.24,1184.4,9.4,20.76,
2024-01-06 12:00:00+01:00,0.0,0.44,1086.94,1131.42,9.48,17.45,
2024-01-06 13:00:00+01:00,0.0,0.44,1081.83,1113.09,9.34,17.22,
2024-01-06 14:00:00+01:00,0.0,0.44,1087.18,1135.71,9.38,21.04,
2024-01-06 15:00:00+01:00,0.0,0.44,1097.88,1187.77,8.77,30.46,
2024-01-06 16:00:00+01:00,0.0,0.44,1092.51,1210.01,8.77,21.78,
2024-01-06 17:00:00+01:00,0.0,0.44,1086.23,1223.47,8.61,22.66,
2024-01-06 18:00:00+01:00,0.0,0.44,1091.05,1161.41,9.34,17.36,
2024-01-06 19:00:00+01:00,0.0,0.44,1085.92,1102.28,10.27,13.73,
2024-01-06 20:00:00+01:00,0.0,0.44,1081.34,1080.33,10.41,9.86,
2024-01-06 21:00:00+01:00,0.0,0.44,1079.91,943.88,10.59,11.74,
2024-01-06 22:00:00+01:00,0.0,0.44,1077.93,797.94,10.7,10.72,
2024-01-06 23:00:00+01:00,0.0,0.44,1063.89,734.87,10.4,17.85,
2024-01-07 00:00:00+01:00,0.0,0.44,1067.15,789.28,11.01,11.63,
2024-01-07 01:00:00+01:00,0.0,0.44,1064.93,775.21,11.57,10.1,
2024-01-07 02:00:00+01:00,0.0,0.44,1066.22,716.53,12.41,4.68,
2024-01-07 03:00:00+01:00,0.0,0.44,1067.72,713.85,12.1,2.84,
2024-01-07 04:00:00+01:00,0.0,0.44,1062.9,704.78,11.59,1.91,
2024-01-07 05:00:00+01:00,0.0,0.44,1062.96,716.38,12.09,0.45,
2024-01-07 06:00:00+01:00,0.0,0.44,1065.46,611.2,13.68,2.55,
2024-01-07 07:00:00+01:00,0.0,0.44,1061.17,789.67,11.86,5.41,
2024-01-07 08:00:00+01:00,0.0,0.44,1050.22,760.24,11.58,7.43,
2024-01-07 09:00:00+01:00,0.0,0.44,1054.72,835.78,11.37,10.69,
2024-01-07 10:00:00+01:00,0.0,0.44,1057.84,898.51,10.7,13.31,
2024-01-07 11:00:00+01:00,0.0,0.44,1057.42,1010.47,11.05,24.28,
2024-01-07 12:00:00+01:00,0.0,0.44,1068.69,1007.43,10.96,38.12,
2024-01-07 13:00:00+01:00,0.0,0.44,1058.19,967.68,10.85,39.58,
2024-01-07 14:00:00+01:00,0.0,0.44,1046.77,902.95,10.08,45.92,
2024-01-07 15:00:00+01:00,0.0,0.44,1056.24,1025.88,9.35,36.37,
2024-01-07 16:00:00+01:00,0.0,0.44,1066.66,1077.95,8.85,21.85,
2024-01-07 17:00:00+01:00,0.0,0.44,1076.82,1175.5,8.87,25.93,
2024-01-07 18:00:00+01:00,0.0,0.44,1076.81,1159.1,8.94,24.61,
2024-01-07 19:00:00+01:00,0.0,0.44,1078.42,1146.21,8.76,63.11,
2024-01-07 20:00:00+01:00,0.0,0.44,1075.78,1171.28,8.75,63.64,
2024-01-07 21:00:00+01:00,0.0,0.44,1071.29,1117.1,8.93,28.03,
2024-01-07 22:00:00+01:00,0.0,0.44,1066.24,1132.03,9.12,50.07,
2024-01-07 23:00:00+01:00,0.0,0.44,1063.65,947.25,8.94,73.7,
2024-01-08 00:00:00+01:00,0.0,0.44,1065.19,813.25,8.82,49.61,
2024-01-08 01:00:00+01:00,0.0,0.44,1050.08,703.58,7.2,42.73,
2024-01-08 02:00:00+01:00,0.0,0.44,1043.26,678.53,8.71,72.12,
2024-01-08 03:00:00+01:00,0.0,0.44,1045.64,660.27,10.73,54.9,
2024-01-08 04:00:00+01:00,0.0,0.44,1045.22,652.19,9.04,80.49,
2024-01-08 05:00:00+01:00,0.0,0.44,1047.16,708.48,7.97,107.11,
2024-01-08 06:00:00+01:00,0.0,0.44,1069.41,1048.36,6.22,123.54,
2024-01-08 07:00:00+01:00,0.0,0.44,1080.99,1215.68,5.28,105.28,
2024-01-08 08:00:00+01:00,0.0,0.44,1079.82,1235.95,4.59,107.43,
2024-01-08 09:00:00+01:00,0.0,0.44,1080.02,1189.15,5.57,85.55,
2024-01-08 10:00:00+01:00,0.0,0.44,1063.73,1240.2,6.23,80.13,
2024-01-08 11:00:00+01:00,0.0,0.44,1066.97,1168.22,8.15,67.31,
2024-01-08 12:00:00+01:00,0.0,0.44,1068.33,1162.35,6.47,84.59,
2024-01-08 13:00:00+01:00,0.0,0.44,1074.69,1126.65,4.91,97.24,
2024-01-08 14:00:00+01:00,0.0,0.44,1074.52,1105.11,4.85,90.77,
2024-01-08 15:00:00+01:00,0.0,0.44,1082.63,1012.08,4.62,78.69,
2024-01-08 16:00:00+01:00,0.0,0.44,1072.81,973.73,5.05,75.93,
2024-01-08 17:00:00+01:00,0.0,0.44,1082.26,1159.8,3.37,61.79,
2024-01-08 18:00:00+01:00,0.0,0.44,1079.81,1204.16,2.64,47.58,
2024-01-08 19:00:00+01:00,0.0,0.44,1081.73,1199.03,3.79,47.94,
2024-01-08 20:00:00+01:00,0.0,0.44,1088.38,1160.84,4.11,29.65,
2024-01-08 21:00:00+01:00,0.0,0.44,1082.61,1135.52,5.41,18.63,
2024-01-08 22:00:00+01:00,0.0,0.44,1076.79,1070.91,6.88,27.28,
2024-01-08 23:00:00+01:00,0.0,0.44,1071.64,899.34,7.48,40.35,
2024-01-09 00:00:00+01:00,0.0,0.44,1060.74,778.15,6.86,59.21,
2024-01-09 01:00:00+01:00,0.0,0.44,1055.93,715.83,8.1,108.09,
2024-01-09 02:00:00+01:00,0.0,0.44,1065.62,673.58,9.3,141.11,
2024-01-09 03:00:00+01:00,0.0,0.44,1068.64,666.45,11.48,122.86,
2024-01-09 04:00:00+01:00,0.0,0.44,1072.03,717.7,14.08,125.11,
2024-01-09 05:00:00+01:00,0.0,0.44,1072.07,796.65,14.22,167.04,
2024-01-09 06:00:00+01:00,0.0,0.44,1075.54,872.88,14.1,196.75,
2024-01-09 07:00:00+01:00,0.0,0.44,1086.77,1064.16,13.99,201.14,
2024-01-09 08:00:00+01:00,0.0,0.44,1080.36,1205.54,13.52,192.93,
2024-01-09 09:00:00+01:00,0.0,0.44,1079.18,1225.46,14.1,195.18,
2024-01-09 10:00:00+01:00,0.0,0.44,1079.92,1230.34,14.68,189.75,
2024-01-09 11:00:00+01:00,0.0,0.44,1075.42,1198.52,14.95,194.99,
2024-01-09 12:00:00+01:00,0.0,0.44,1097.91,1086.36,13.95,223.52,
2024-01-09 13:00:00+01:00,0.0,0.44,1101.03,1080.1,13.89,230.16,
2024-01-09 14:00:00+01:00,0.0,0.44,1097.79,1144.1,14.21,234.99,
2024-01-09 15:00:00+01:00,0.0,0.44,1111.37,1192.22,16.82,234.95,
2024-01-09 16:00:00+01:00,0.0,0.44,1116.93,1213.84,19.01,235.02,
2024-01-09 17:00:00+01:00,0.0,0.44,1118.45,1169.44,18.55,243.45,
2024-01-09 18:00:00+01:00,0.0,0.44,1116.02,1172.66,18.34,234.95,
2024-01-09 19:00:00+01:00,0.0,0.44,1110.73,1187.62,18.39,248.15,
2024-01-09 20:00:00+01:00,0.0,0.44,1114.06,1121.57,18.98,231.59,
2024-01-09 21:00:00+01:00,0.0,0.44,1119.22,1086.88,19.38,226.28,
2024-01-09 22:00:00+01:00,0.0,0.44,1104.88,964.43,19.7,243.98,
2024-01-09 23:00:00+01:00,0.0,0.44,1098.86,818.01,19.45,229.98,
2024-01-10 00:00:00+01:00,0.0,0.44,1114.83,846.05,13.59,230.15,
2024-01-10 01:00:00+01:00,0.0,0.44,1102.89,820.6,13.94,237.86,
2024-01-10 02:00:00+01:00,0.0,0.44,1102.02,838.95,14.16,235.48,
2024-01-10 03:00:00+01:00,0.0,0.44,1105.65,834.99,14.21,238.14,
2024-01-10 04:00:00+01:00,0.0,0.44,1113.32,814.86,14.44,234.1,
2024-01-10 05:00:00+01:00,0.0,0.44,1113.31,870.88,14.11,225.13,
2024-01-10 06:00:00+01:00,0.0,0.44,1116.59,960.15,14.5,215.67,
2024-01-10 07:00:00+01:00,0.0,0.44,1133.38,1159.19,13.79,170.99,
2024-01-10 08:00:00+01:00,0.0,0.44,1134.17,1147.54,14.24,151.96,
2024-01-10 09:00:00+01:00,0.0,0.44,1142.06,1187.77,14.15,180.49,
2024-01-10 10:00:00+01:00,0.0,0.44,1137.66,1189.11,13.97,198.82,
2024-01-10 11:00:00+01:00,0.0,0.44,1130.2,1127.33,13.63,195.12,
2024-01-10 12:00:00+01:00,0.0,0.44,1128.12,1146.58,13.64,195.09,
2024-01-10 13:00:00+01:00,0.0,0.44,1137.19,1094.5,13.51,223.33,
2024-01-10 14:00:00+01:00,0.0,0.44,1132.85,1137.99,13.84,242.91,
2024-01-10 15:00:00+01:00,0.0,0.44,1137.23,1187.3,14.19,216.26,
2024-01-10 16:00:00+01:00,0.0,0.44,1136.13,1165.75,13.51,225.34,
2024-01-10 17:00:00+01:00,0.0,0.44,1138.23,1170.58,12.76,252.97,
2024-01-10 18:00:00+01:00,0.0,0.44,1137.13,1137.19,12.47,275.23,
2024-01-10 19:00:00+01:00,0.0,0.44,1136.61,1192.25,12.14,279.62,
2024-01-10 20:00:00+01:00,0.0,0.44,1139.54,1180.13,12.68,281.95,
2024-01-10 21:00:00+01:00,0.0,0.44,1142.08,1008.59,12.77,276.58,
2024-01-10 22:00:00+01:00,0.0,0.44,1127.02,923.26,13.71,268.92,
2024-01-10 23:00:00+01:00,0.0,0.44,1118.87,852.52,13.4,286.56,
2024-01-11 00:00:00+01:00,0.0,0.44,1122.66,726.5,13.29,287.1,
2024-01-11 01:00:00+01:00,0.0,0.44,1108.72,636.73,13.31,284.54,
2024-01-11 02:00:00+01:00,0.0,0.44,1114.24,574.17,10.32,283.46,
2024-01-11 03:00:00+01:00,0.0,0.44,1111.59,524.28,12.26,282.01,
2024-01-11 04:00:00+01:00,0.0,0.44,1111.39,629.33,12.89,285.83,
2024-01-11 05:00:00+01:00,0.0,0.44,1117.79,763.07,12.87,270.97,
2024-01-11 06:00:00+01:00,0.0,0.44,1113.23,881.32,13.15,271.54,
2024-01-11 07:00:00+01:00,0.0,0.44,1122.04,978.04,13.64,262.97,
2024-01-11 08:00:00+01:00,0.0,0.44,1135.65,1136.23,13.64,256.23,
2024-01-11 09:00:00+01:00,0.0,0.44,1133.27,1103.29,12.84,249.27,
2024-01-11 10:00:00+01:00,0.0,0.44,1122.1,956.14,14.48,245.23,
2024-01-11 11:00:00+01:00,0.0,0.44,1118.53,1075.85,14.07,246.04,
2024-01-11 12:00:00+01:00,0.0,0.44,1119.61,1025.53,14.03,246.11,
2024-01-11 13:00:00+01:00,0.0,0.44,1123.38,977.48,14.12,249.04,
2024-01-11 14:00:00+01:00,0.0,0.44,1125.8,1035.66,14.43,232.8,
2024-01-11 15:00:00+01:00,0.0,0.44,1131.59,1034.69,14.7,232.84,
2024-01-11 16:00:00+01:00,0.0,0.44,1136.94,1093.6,14.25,242.51,
2024-01-11 17:00:00+01:00,0.0,0.44,1133.61,1052.48,13.68,253.75,
2024-01-11 18:00:00+01:00,0.0,0.44,1129.06,1150.86,13.73,245.88,
2024-01-11 19:00:00+01:00,0.0,0.44,1130.79,1180.06,13.68,229.17,
2024-01-11 20:00:00+01:00,0.0,0.44,1128.82,1106.49,13.91,212.13,
2024-01-11 21:00:00+01:00,0.0,0.44,1129.09,1023.71,14.3,211.71,
2024-01-11 22:00:00+01:00,0.0,0.44,1105.89,888.1,13.7,171.39,
2024-01-11 23:00:00+01:00,0.0,0.44,1092.16,793.12,13.65,180.32,
2024-01-12 00:00:00+01:00,0.0,0.44,1093.43,615.08,14.08,189.36,
2024-01-12 01:00:00+01:00,0.0,0.44,1093.84,534.75,14.86,177.36,
2024-01-12 02:00:00+01:00,0.0,0.44,1094.07,499.34,15.73,160.78,
2024-01-12 03:00:00+01:00,0.0,0.44,1096.91,471.72,15.91,157.56,
2024-01-12 04:00:00+01:00,0.0,0.44,1104.63,481.15,14.76,142.61,
2024-01-12 05:00:00+01:00,0.0,0.44,1103.33,554.02,13.62,177.13,
2024-01-12 06:00:00+01:00,0.0,0.44,1107.74,579.56,14.33,222.88,
2024-01-12 07:00:00+01:00,0.0,0.44,1114.65,914.41,14.26,218.89,
2024-01-12 08:00:00+01:00,0.0,0.44,1119.32,958.9,14.02,191.24,
2024-01-12 09:00:00+01:00,0.0,0.44,1117.69,1007.84,14.25,223.5,
2024-01-12 10:00:00+01:00,0.0,0.44,1121.85,1029.67,14.53,200.07,
2024-01-12 11:00:00+01:00,0.0,0.44,1116.68,1037.39,14.53,163.48,
2024-01-12 12:00:00+01:00,0.0,0.44,1114.21,954.4,14.46,167.81,
2024-01-12 13:00:00+01:00,0.0,0.44,1108.13,961.02,14.36,145.48,
2024-01-12 14:00:00+01:00,0.0,0.44,1106.33,1025.63,14.07,61.69,
2024-01-12 15:00:00+01:00,0.0,0.44,1115.8,1051.62,13.93,31.87,
2024-01-12 16:00:00+01:00,0.0,0.44,1123.5,1103.13,13.33,32.44,
2024-01-12 17:00:00+01:00,0.0,0.44,1121.22,1131.7,13.57,17.36,
2024-01-12 18:00:00+01:00,0.0,0.44,1124.04,1169.37,13.58,5.2,
2024-01-12 19:00:00+01:00,0.0,0.44,1136.55,1140.79,13.32,30.59,
2024-01-12 20:00:00+01:00,0.0,0.44,1145.95,1104.9,13.6,121.95,
2024-01-12 21:00:00+01:00,0.0,0.44,1142.1,1065.4,13.53,193.23,
2024-01-12 22:00:00+01:00,0.0,0.44,1136.11,823.9,14.38,233.77,
2024-01-12 23:00:00+01:00,0.0,0.44,1119.4,626.9,13.82,210.78,
2024-01-13 00:00:00+01:00,0.0,0.44,1130.1,622.16,14.04,247.29,
2024-01-13 01:00:00+01:00,0.0,0.44,1116.93,588.81,12.46,215.45,
2024-01-13 02:00:00+01:00,0.0,0.44,1129.24,571.06,11.7,176.13,
2024-01-13 03:00:00+01:00,0.0,0.44,1118.49,556.99,12.43,130.23,
2024-01-13 04:00:00+01:00,0.0,0.44,1119.23,503.58,13.79,126.22,
2024-01-13 05:00:00+01:00,0.0,0.44,1131.69,490.76,14.15,197.61,
2024-01-13 06:00:00+01:00,0.0,0.44,1128.61,485.82,15.05,205.52,
2024-01-13 07:00:00+01:00,0.0,0.44,1126.21,504.58,15.68,160.63,
2024-01-13 08:00:00+01:00,0.0,0.44,1121.42,519.1,15.94,142.43,
2024-01-13 09:00:00+01:00,0.0,0.44,1126.17,659.44,15.33,88.0,
2024-01-13 10:00:00+01:00,0.0,0.44,1108.03,758.79,13.61,100.47,
2024-01-13 11:00:00+01:00,0.0,0.44,1107.31,676.59,12.42,204.53,
2024-01-13 12:00:00+01:00,0.0,0.44,1106.01,680.11,12.04,230.49,
2024-01-13 13:00:00+01:00,0.0,0.44,1107.36,692.73,12.5,213.63,
2024-01-13 14:00:00+01:00,0.0,0.44,1102.1,620.67,13.22,199.61,
2024-01-13 15:00:00+01:00,0.0,0.44,1103.91,616.95,13.26,204.23,
2024-01-13 16:00:00+01:00,0.0,0.44,1113.22,723.75,11.91,231.86,
2024-01-13 17:00:00+01:00,0.0,0.44,1121.69,763.83,11.38,226.39,
2024-01-13 18:00:00+01:00,0.0,0.44,1115.05,754.38,10.97,255.56,
2024-01-13 19:00:00+01:00,0.0,0.44,1114.52,693.84,12.0,254.96,
2024-01-13 20:00:00+01:00,0.0,0.44,1106.79,607.22,13.0,278.48,
2024-01-13 21:00:00+01:00,0.0,0.44,1095.58,480.99,14.62,282.19,
2024-01-13 22:00:00+01:00,0.0,0.44,1080.41,544.41,14.9,284.83,
2024-01-13 23:00:00+01:00,0.0,0.44,1085.91,546.03,14.94,286.67,
2024-01-14 00:00:00+01:00,0.0,0.44,1076.08,328.09,15.07,273.33,
2024-01-14 01:00:00+01:00,0.0,0.44,1076.22,245.81,15.29,249.72,
2024-01-14 02:00:00+01:00,0.0,0.44,1065.28,244.7,15.73,231.08,
2024-01-14 03:00:00+01:00,0.0,0.44,1048.01,205.43,16.97,199.96,
2024-01-14 04:00:00+01:00,0.0,0.44,1035.9,188.47,17.37,159.09,
2024-01-14 05:00:00+01:00,0.0,0.44,1042.08,266.98,18.57,102.68,
2024-01-14 06:00:00+01:00,0.0,0.44,1073.91,416.43,18.97,111.88,
2024-01-14 07:00:00+01:00,0.0,0.44,1045.0,393.58,19.22,102.35,
2024-01-14 08:00:00+01:00,0.0,0.44,1065.43,608.87,18.35,97.64,
2024-01-14 09:00:00+01:00,0.0,0.44,1053.18,923.8,17.38,77.8,
2024-01-14 10:00:00+01:00,0.0,0.44,1079.45,993.75,17.6,45.21,
